"alpha","att_bias","att_var","catt_var"
1,0.00262743687630899,0.000788872432342026,0.0032726409473251
3,0.00223931409982192,0.000788379234634733,0.00320554007706599
7,0.00222234637583029,0.000773797673474937,0.00318669144660047
15,0.00190432657787526,0.000792553662699599,0.00327516592324602
30,0.00189727446411635,0.000787601284040307,0.0033757402864838
