"event","tau","se","weight","perc_aff"
138,0.0019168590544723,0.000604792631132528,4009274.5,0.21336704492569
137,-0.00491860193142202,0.000604792631132528,4009274.5,-0.259840220212936
136,0.00951646575704217,0.00100490968192383,1452194.25,0.452582985162735
135,0.00604831455275416,0.00100490968192383,1452194.25,-0.122049428522587
134,0.00320033296011388,0.00100490968192383,1452194.25,-0.278632760047913
133,0.00307728974148631,0.00100490968192383,1452194.25,-0.0726079046726227
132,0.00465486489702016,0.00100490968192383,1452194.25,0.0270908921957016
131,0.00541120641864836,0.000585898920015421,4272021,0.141506925225258
130,0.00738970150705427,0.000585898920015421,4272021,0.217207968235016
129,0.00568938467185944,0.000585898920015421,4272021,0.0341958329081535
128,0.0122316122753546,0.000585898920015421,4272021,0.305357694625854
127,0.0064171398524195,0.000585898920015421,4272021,0.278462439775467
126,0.00370033448562026,0.000585898920015421,4272021,0.392220020294189
125,-0.00412535592913628,0.000585898920015421,4272021,-0.258171945810318
124,0.0126840051263571,0.000585898920015421,4272021,0.309056311845779
123,-0.000496931793168187,0.00178757511326652,458933.9375,-0.000764310650993139
122,0.00963503082748502,0.00178757511326652,458933.9375,0.42537933588028
121,0.00165266001131386,0.00178757511326652,458933.9375,-0.0238536354154348
120,-0.00431860747048631,0.00178757511326652,458933.9375,-0.482522457838058
119,-0.00227087838575244,0.00178757511326652,458933.9375,-0.192509382963181
118,0.00480120391584933,0.00161852125208435,559811.6875,-0.321654230356216
117,0.0074700572877191,0.00136001050388366,792855.875,-0.156173393130302
116,0.00646824259310961,0.00136001050388366,792855.875,0.209673702716827
115,0.00154565372504294,0.00136001050388366,792855.875,-0.0318069308996201
114,0.00150973929557949,0.00136001050388366,792855.875,-0.0267960466444492
113,0.00235602620523423,0.00136001050388366,792855.875,0.140441477298737
112,0.00128808808512986,0.00136001050388366,792855.875,-0.159136191010475
111,-0.00249274247325957,0.00136001050388366,792855.875,0.0377445928752422
110,0.00133564530406147,0.00136001050388366,792855.875,-0.121637374162674
109,0.00203010775148869,0.000392135046670357,9536905,-0.182734683156013
108,0.000687957368791103,0.000392135046670357,9536905,0.0514289177954197
107,0.000238357219132013,0.000392135046670357,9536905,-0.0472049489617348
106,-0.00281119286664762,0.000759814484239258,2540175,-0.295031011104584
105,0.00423466539941728,0.000759814484239258,2540175,-0.0480475798249245
104,-0.000236852001398802,0.000759814484239258,2540175,-0.431045949459076
103,0.000331550394184887,0.000759814484239258,2540175,-0.167660042643547
102,0.00505960364826024,0.000759814484239258,2540175,0.0691782906651497
101,-0.00375387887470424,0.000759814484239258,2540175,-0.142391681671143
100,0.00743518384697381,0.000759814484239258,2540175,-0.16057313978672
99,0.00619884338229895,0.000759814484239258,2540175,-0.17088121175766
98,0.00249434215947986,0.000759814484239258,2540175,-0.121389918029308
97,0.0105161061510444,0.000759814484239258,2540175,0.302599549293518
96,-0.000180305371759459,0.000759814484239258,2540175,-0.0114122936502099
95,0.00909076603129506,0.000413626073046516,8571621,0.266374379396439
94,0.000972980167716742,0.000413626073046516,8571621,0.0560665540397167
93,0.00455647418275476,0.000413626073046516,8571621,0.132893428206444
92,0.008431377238594,0.000318423043165368,14463380,0.447861075401306
91,0.000585016701370478,0.000318423043165368,14463380,-0.0586381405591965
90,0.00823536487296224,0.000318423043165368,14463380,0.189661040902138
89,0.00196648262208328,0.000318423043165368,14463380,-0.0553169101476669
88,0.000988250627415255,0.000318423043165368,14463380,-0.189824134111404
87,0.00504515314241871,0.000318423043165368,14463380,0.191053450107574
86,0.00339297740720212,0.00106879668726566,1283774,-0.0269650034606457
85,-6.84077269397676e-05,0.00106879668726566,1283774,0.0690705627202988
84,-0.00111134839244187,0.000480267433134484,6357882.5,-0.206892997026443
83,0.00305082199629396,0.000480267433134484,6357882.5,0.19768887758255
82,-4.33108769357204e-05,0.000480267433134484,6357882.5,-0.0766787305474281
81,0.00715742575703189,0.00103629455976984,1365564.875,0.189724966883659
80,0.0135803228244185,0.00103629455976984,1365564.875,0.59514445066452
79,-0.00751548088155687,0.00103629455976984,1365564.875,-0.621753752231598
78,0.00132119990885258,0.00107371553708172,1272038.625,-0.00534598855301738
77,0.00220044651068747,0.00107371553708172,1272038.625,0.179979234933853
76,0.00262545337900519,0.00146721581142465,681225.3125,-0.140148296952248
75,0.00393389295786619,0.00146721581142465,681225.3125,-0.00992093794047832
74,-0.0012019716668874,0.00146721581142465,681225.3125,-0.340594738721848
73,-0.00665631136507727,0.000592672089661248,4174936,-0.372734874486923
72,0.00518223744584248,0.000592672089661248,4174936,0.297238975763321
71,-0.00905418545007706,0.000635819510840333,3627530.5,-0.500434100627899
70,0.00681278007104993,0.000635819510840333,3627530.5,-0.124088905751705
69,0.00247786939144135,0.000635819510840333,3627530.5,-0.0792679563164711
68,-0.00196207178232726,0.000635819510840333,3627530.5,0.0947024077177048
67,0.00537790528032929,0.000635819510840333,3627530.5,0.413702100515366
66,0.00286295025143772,0.000635819510840333,3627530.5,0.440193295478821
65,0.0008498388400767,0.000445957517315391,7373807.5,0.0567897483706474
64,0.00642117667593993,0.000445957517315391,7373807.5,0.120048739016056
63,0.00848295777104795,0.000445957517315391,7373807.5,0.253715068101883
62,0.00350979283684865,0.000548292691726538,4878135.5,0.188067212700844
61,0.00665511647239327,0.000548292691726538,4878135.5,0.147325620055199
60,-0.00133426954271272,0.000548292691726538,4878135.5,-0.139512702822685
59,0.00017921949038282,0.000548292691726538,4878135.5,-0.224891170859337
58,-0.00063319702167064,0.000548292691726538,4878135.5,0.0732111781835556
57,-0.00289860961493105,0.00061062552831084,3933044.5,-0.248901858925819
56,0.00504080741666257,0.000809592639335529,2237410.5,0.104387320578098
55,0.00778610100969672,0.000809592639335529,2237410.5,0.143389910459518
54,0.0101448161527514,0.000809592639335529,2237410.5,0.432019770145416
53,-0.00136007035616785,0.000809592639335529,2237410.5,-0.0361074395477772
52,0.000116470316424966,0.000398536356082625,9233001,-0.0704242885112762
51,0.0112909788731486,0.000398536356082625,9233001,0.229429572820663
50,0.0031169475056231,0.000398536356082625,9233001,0.040254931896925
49,0.00376592315733433,0.00128654094821114,885995.5625,-0.0338570848107338
48,0.00592445014044642,0.00128654094821114,885995.5625,0.143036231398582
47,0.00392108902015025,0.00128654094821114,885995.5625,0.0366633906960487
46,0.00223878916585818,0.00128654094821114,885995.5625,-0.0211983788758516
45,0.00982306161895394,0.00128654094821114,885995.5625,0.141129225492477
44,-0.00451226462610066,0.00128654094821114,885995.5625,-0.342663139104843
43,-0.000458959955722094,0.00128654094821114,885995.5625,0.143830165266991
42,0.000532506685703993,0.00128654094821114,885995.5625,-0.584952533245087
41,0.0105562877608463,0.000352157050888617,11825132,0.498463571071625
40,-0.00207837889538496,0.000352157050888617,11825132,0.0591825880110264
39,-0.00441788382595405,0.000352157050888617,11825132,-0.351756751537323
38,-0.0104159288108349,0.00175205120442299,477732.9375,-0.769879937171936
37,-0.00319253550842404,0.00175205120442299,477732.9375,-0.856702566146851
36,0.00161338914185762,0.00175205120442299,477732.9375,-0.381180047988892
35,-0.00712220454588532,0.00175205120442299,477732.9375,-1.1628942489624
34,-0.0155649716034532,0.00175205120442299,477732.9375,-1.32868885993958
33,-0.00183611856773496,0.00175205120442299,477732.9375,-0.0571358799934387
32,-0.00157112190499902,0.00175205120442299,477732.9375,0.128783166408539
31,0.0315085560083389,0.00175205120442299,477732.9375,4.20737457275391
30,-0.00122790823224932,0.00158641806434158,582697.9375,-0.119280584156513
29,0.00064041923469631,0.00158641806434158,582697.9375,-0.0571317002177238
28,0.00376777602359653,0.00158641806434158,582697.9375,0.240990459918976
27,0.0011233537690714,0.000748955128481149,2614370.75,0.0501036532223225
26,-0.000482188444584608,0.000748955128481149,2614370.75,-0.396892488002777
25,0.000805074666277505,0.000748955128481149,2614370.75,-0.00510987639427185
24,-0.000566425523720682,0.000748955128481149,2614370.75,-0.0619262494146824
23,-0.0080990263435524,0.000748955128481149,2614370.75,-0.491365522146225
22,-0.00193900535232387,0.000748955128481149,2614370.75,-0.215928137302399
21,0.00685221687890589,0.000689816819539132,3081848,0.32805460691452
20,0.00115730097750202,0.000689816819539132,3081848,-0.0425344333052635
19,0.00990228054579347,0.000245769222386002,24278608,-0.0155470417812467
18,0.0103910662000999,0.000245769222386002,24278608,-0.0118903396651149
17,0.00295241558633279,0.000245769222386002,24278608,-0.0782528445124626
16,0.00821561943739653,0.000245769222386002,24278608,-0.0878544822335243
15,-0.000769343308638781,0.000245769222386002,24278608,-0.269893050193787
14,0.00715638452966232,0.000245769222386002,24278608,-0.186039164662361
13,0.00508930009091273,0.000245769222386002,24278608,0.148178398609161
12,0.00015835749800317,0.000245769222386002,24278608,0.207557454705238
11,0.00214442516444251,0.000245769222386002,24278608,0.00543151516467333
10,-0.00178344487212598,0.000862924156834425,1969398.125,-0.381458789110184
9,0.00394895763602108,0.000862924156834425,1969398.125,0.14680290222168
8,0.00440252665430307,0.000862924156834425,1969398.125,0.039154727011919
7,0.0109194980934262,0.000641050706746592,3568568.25,0.426140636205673
6,0.00054819187062094,0.000641050706746592,3568568.25,0.135550528764725
5,0.00296152804512531,0.000641050706746592,3568568.25,0.0363971330225468
4,-0.00158961216311582,0.00185993055609721,423921.375,-0.0823730900883675
3,-0.00110759995877743,0.00185993055609721,423921.375,-0.0787505656480789
2,0.0106324672698975,0.00185993055609721,423921.375,0.371868938207626
1,0.00705996290780604,0.00185993055609721,423921.375,0.651820719242096
