"event","statenum","tau","se","l0_group","dp_effect"
138,55,-0.000491898812470026,0.00647402219396948,1,0.00137234033260805
137,55,-0.00263545500274631,0.00647402219396948,1,0.00135467240786687
136,54,0.00731412565801293,0.00647402219396948,2,0.00150234532595832
135,54,0.00299817265477031,0.00647402219396948,3,0.00143215789446876
134,54,0.00291537627344951,0.00647402219396948,3,0.00140401670135127
133,54,0.000326380017213523,0.00647402219396948,3,0.00138049425475688
132,54,0.00652260312926956,0.00647402219396948,2,0.0014886699181011
131,53,0.0032259997096844,0.00647402219396948,3,0.00142729169488265
130,53,0.00381407185341232,0.00647402219396948,3,0.00143129614680077
129,53,0.00441612521535717,0.00647402219396948,2,0.00144639261122276
128,53,0.00514773567556404,0.00647402219396948,2,0.001470888825273
127,53,0.00584306317614391,0.00647402219396948,2,0.00146695377955608
126,53,-0.00193781650159508,0.00647402219396948,1,0.00133926204184038
125,53,-0.000265383627265692,0.00647402219396948,1,0.00139445493677988
124,53,0.00999303534626961,0.00647402219396948,2,0.00153672527441933
123,50,0.0039071430801414,0.00647402219396948,3,0.0014168007415676
122,50,0.00805166314239614,0.00647402219396948,2,0.00150333160402083
121,50,0.000708692794432864,0.00647402219396948,3,0.00142318848095588
120,50,-0.000523129318025894,0.00647402219396948,1,0.00139912766716192
119,50,-0.00167297665029764,0.00647402219396948,1,0.00136353203915043
118,46,0.00123487442033365,0.00647402219396948,3,0.00140759686643979
117,44,0.00459215386945289,0.00647402219396948,2,0.00144222001114907
116,44,0.00525799579918385,0.00647402219396948,2,0.00144515222646358
115,44,0.00242223677923903,0.00647402219396948,3,0.00141975307570724
114,44,-0.000658721168292686,0.00647402219396948,1,0.00138491463484089
113,44,0.00349149139947258,0.00647402219396948,3,0.00143136924775044
112,44,0.00562490575248376,0.00647402219396948,2,0.0014536970081149
111,44,-0.00170347822131589,0.00647402219396948,1,0.00138234266895514
110,44,0.000683256104821339,0.00647402219396948,3,0.0013970622040322
109,42,0.00146629090886563,0.00647402219396948,3,0.0014126397284532
108,42,-0.00107684417162091,0.00647402219396948,1,0.00138945212638378
107,42,0.0020644068895308,0.00647402219396948,3,0.00142796417667839
106,41,-0.00232530508219497,0.00647402219396948,1,0.00133578345410703
105,41,0.000443018681835383,0.00647402219396948,3,0.00138001195731435
104,41,-0.00461498356889933,0.00647402219396948,1,0.00132378310295311
103,41,0.00102052724105306,0.00647402219396948,3,0.0014390440826369
102,41,0.00113225035602227,0.00647402219396948,3,0.00138414184381902
101,41,-0.00522194488439709,0.00647402219396948,1,0.00133499891466147
100,41,-0.00187663749602507,0.00647402219396948,1,0.00135971520730213
99,41,0.0041940517257899,0.00647402219396948,3,0.00142662731047262
98,41,-0.00187079713214189,0.00647402219396948,1,0.00136349948230911
97,41,0.00671440386213362,0.00647402219396948,2,0.00146943247835116
96,41,0.00522982443362707,0.00647402219396948,2,0.00146062365680417
95,39,0.00861103541683406,0.00647402219396948,2,0.001517648827284
94,39,-0.000774884014390409,0.00647402219396948,1,0.00136587485068685
93,39,0.00359513249713928,0.00647402219396948,3,0.00143742492766251
92,36,0.00404998610611074,0.00647402219396948,3,0.00141617294717214
91,36,-0.00253668462391943,0.00647402219396948,1,0.00135228587379891
90,36,0.00448663358110934,0.00647402219396948,2,0.00145815313225108
89,36,0.0031848529324634,0.00647402219396948,3,0.00144805617574816
88,36,0.00180102801095927,0.00647402219396948,3,0.0014125812969023
87,36,0.00532136861875188,0.00647402219396948,2,0.00146368739635744
86,35,-0.00107356841908768,0.00647402219396948,1,0.00137014754861969
85,35,-0.00013543818204198,0.00647402219396948,1,0.00136598445567412
84,34,-0.00206585827982053,0.00647402219396948,1,0.00139464034301411
83,34,0.00391211349051446,0.00647402219396948,3,0.00143003239985581
82,34,-0.00214284344110638,0.00647402219396948,1,0.00139282294548257
81,32,0.00342624423501547,0.00647402219396948,3,0.00140781375494921
80,32,0.0101325211580843,0.00647402219396948,2,0.00157749836235685
79,32,-0.00473675894318148,0.00647402219396948,1,0.00131242786479748
78,31,0.000719038071110845,0.00647402219396948,3,0.00141965181901925
77,31,-0.000758451584260911,0.00647402219396948,1,0.00137515692393016
