"method","true_group","tau_true","iteration","estimate"
"DP Bayes","Group B (tau=4)",4,12,4.02877131334823
"Flexible","Group B (tau=4)",4,12,4.01362528697166
"L0 (L=0.5)","Group B (tau=4)",4,12,4.02134551304889
"Pooled","Group B (tau=4)",4,12,2.62224804498005
"DP Bayes","Group A (tau=2)",2,13,2.00904055181128
"Flexible","Group A (tau=2)",2,13,1.99530625398684
"L0 (L=0.5)","Group A (tau=2)",2,13,2.00630085158913
"Pooled","Group A (tau=2)",2,13,2.5886082808698
"DP Bayes","Group B (tau=4)",4,13,3.9504991041973
"Flexible","Group B (tau=4)",4,13,3.8916461120332
"L0 (L=0.5)","Group B (tau=4)",4,13,3.94732561585805
"Pooled","Group B (tau=4)",4,13,2.5886082808698
"DP Bayes","Group A (tau=2)",2,14,1.99699933794369
"Flexible","Group A (tau=2)",2,14,1.99327254651151
"L0 (L=0.5)","Group A (tau=2)",2,14,1.99828809967578
"Pooled","Group A (tau=2)",2,14,2.60887195004704
"DP Bayes","Group B (tau=4)",4,14,4.02967900580783
"Flexible","Group B (tau=4)",4,14,4.00276711976587
"L0 (L=0.5)","Group B (tau=4)",4,14,4.03356760091333
"Pooled","Group B (tau=4)",4,14,2.60887195004704
"DP Bayes","Group A (tau=2)",2,15,2.01052027375001
"Flexible","Group A (tau=2)",2,15,1.99305118153333
"L0 (L=0.5)","Group A (tau=2)",2,15,2.00963145145707
"Pooled","Group A (tau=2)",2,15,2.60415456429369
"DP Bayes","Group B (tau=4)",4,15,3.98880513340614
"Flexible","Group B (tau=4)",4,15,3.95578696973064
"L0 (L=0.5)","Group B (tau=4)",4,15,3.99137516091244
"Pooled","Group B (tau=4)",4,15,2.60415456429369
"DP Bayes","Group A (tau=2)",2,16,1.99841766604729
"Flexible","Group A (tau=2)",2,16,1.98292308435347
"L0 (L=0.5)","Group A (tau=2)",2,16,1.99580753862942
"Pooled","Group A (tau=2)",2,16,2.60659528983945
"DP Bayes","Group B (tau=4)",4,16,4.02931735686962
"Flexible","Group B (tau=4)",4,16,4.01340759688775
"L0 (L=0.5)","Group B (tau=4)",4,16,4.03176670932949
"Pooled","Group B (tau=4)",4,16,2.60659528983945
"DP Bayes","Group A (tau=2)",2,17,2.06233014327666
"Flexible","Group A (tau=2)",2,17,2.06522994504912
"L0 (L=0.5)","Group A (tau=2)",2,17,2.06039278914832
"Pooled","Group A (tau=2)",2,17,2.64176483157987
"DP Bayes","Group B (tau=4)",4,17,3.99777843680384
"Flexible","Group B (tau=4)",4,17,4.02936740835368
"L0 (L=0.5)","Group B (tau=4)",4,17,3.99829959725349
"Pooled","Group B (tau=4)",4,17,2.64176483157987
"DP Bayes","Group A (tau=2)",2,18,2.08303997173341
"Flexible","Group A (tau=2)",2,18,2.06735288861751
"L0 (L=0.5)","Group A (tau=2)",2,18,2.0813995616771
"Pooled","Group A (tau=2)",2,18,2.66363509171063
"DP Bayes","Group B (tau=4)",4,18,4.02407043834671
"Flexible","Group B (tau=4)",4,18,3.98222375694395
"L0 (L=0.5)","Group B (tau=4)",4,18,4.02218466178885
"Pooled","Group B (tau=4)",4,18,2.66363509171063
"DP Bayes","Group A (tau=2)",2,19,1.98069863012434
"Flexible","Group A (tau=2)",2,19,1.97926188632459
"L0 (L=0.5)","Group A (tau=2)",2,19,1.96867877343263
"Pooled","Group A (tau=2)",2,19,2.57433294325561
"DP Bayes","Group B (tau=4)",4,19,3.96105314129076
"Flexible","Group B (tau=4)",4,19,3.96451806256488
"L0 (L=0.5)","Group B (tau=4)",4,19,3.95307328296956
"Pooled","Group B (tau=4)",4,19,2.57433294325561
"DP Bayes","Group A (tau=2)",2,20,2.03045265022608
"Flexible","Group A (tau=2)",2,20,2.03192011968503
"L0 (L=0.5)","Group A (tau=2)",2,20,2.03238043388707
"Pooled","Group A (tau=2)",2,20,2.61643055903437
"DP Bayes","Group B (tau=4)",4,20,3.97936313590706
"Flexible","Group B (tau=4)",4,20,4.02115527772745
"L0 (L=0.5)","Group B (tau=4)",4,20,3.97921418437811
"Pooled","Group B (tau=4)",4,20,2.61643055903437
"DP Bayes","Group A (tau=2)",2,21,1.91817837117506
"Flexible","Group A (tau=2)",2,21,1.95136606979012
"L0 (L=0.5)","Group A (tau=2)",2,21,1.9201916152155
"Pooled","Group A (tau=2)",2,21,2.53514830434463
"DP Bayes","Group B (tau=4)",4,21,3.96728685215978
"Flexible","Group B (tau=4)",4,21,3.98409902427748
"L0 (L=0.5)","Group B (tau=4)",4,21,3.97004724564594
"Pooled","Group B (tau=4)",4,21,2.53514830434463
"DP Bayes","Group A (tau=2)",2,22,2.04104039957184
"Flexible","Group A (tau=2)",2,22,2.04887205286499
"L0 (L=0.5)","Group A (tau=2)",2,22,2.04019752722589
"Pooled","Group A (tau=2)",2,22,2.63066405590929
"DP Bayes","Group B (tau=4)",4,22,4.00731347086112
"Flexible","Group B (tau=4)",4,22,4.06316932641888
"L0 (L=0.5)","Group B (tau=4)",4,22,4.0084192895039
"Pooled","Group B (tau=4)",4,22,2.63066405590929
"DP Bayes","Group A (tau=2)",2,23,2.03003976771464
"Flexible","Group A (tau=2)",2,23,2.04048469812854
"L0 (L=0.5)","Group A (tau=2)",2,23,2.03624639699606
"Pooled","Group A (tau=2)",2,23,2.62488488243371
"DP Bayes","Group B (tau=4)",4,23,3.99038815265992
"Flexible","Group B (tau=4)",4,23,4.00491183372104
"L0 (L=0.5)","Group B (tau=4)",4,23,3.99837468178823
"Pooled","Group B (tau=4)",4,23,2.62488488243371
"DP Bayes","Group A (tau=2)",2,24,2.04748551760511
"Flexible","Group A (tau=2)",2,24,2.07988432650453
"L0 (L=0.5)","Group A (tau=2)",2,24,2.04885559399609
"Pooled","Group A (tau=2)",2,24,2.65611193744473
"DP Bayes","Group B (tau=4)",4,24,4.07250168347098
"Flexible","Group B (tau=4)",4,24,4.11642937382876
"L0 (L=0.5)","Group B (tau=4)",4,24,4.07304340549158
"Pooled","Group B (tau=4)",4,24,2.65611193744473
"DP Bayes","Group A (tau=2)",2,25,2.03393076861756
"Flexible","Group A (tau=2)",2,25,2.02508499163114
"L0 (L=0.5)","Group A (tau=2)",2,25,2.03085421271888
"Pooled","Group A (tau=2)",2,25,2.61895851474978
"DP Bayes","Group B (tau=4)",4,25,3.99204444970195
"Flexible","Group B (tau=4)",4,25,3.99484556004608
"L0 (L=0.5)","Group B (tau=4)",4,25,3.99120188615519
"Pooled","Group B (tau=4)",4,25,2.61895851474978
"DP Bayes","Group A (tau=2)",2,26,1.99609170372796
"Flexible","Group A (tau=2)",2,26,2.01828080866481
"L0 (L=0.5)","Group A (tau=2)",2,26,1.99773530403269
"Pooled","Group A (tau=2)",2,26,2.57743529741364
"DP Bayes","Group B (tau=4)",4,26,3.94979476261663
"Flexible","Group B (tau=4)",4,26,3.97432995366211
"L0 (L=0.5)","Group B (tau=4)",4,26,3.96297819032237
"Pooled","Group B (tau=4)",4,26,2.57743529741364
"DP Bayes","Group A (tau=2)",2,27,2.00292107399598
"Flexible","Group A (tau=2)",2,27,2.02567364486211
"L0 (L=0.5)","Group A (tau=2)",2,27,2.00433347559589
"Pooled","Group A (tau=2)",2,27,2.59298265359061
"DP Bayes","Group B (tau=4)",4,27,3.97448684470191
"Flexible","Group B (tau=4)",4,27,4.01782199187715
"L0 (L=0.5)","Group B (tau=4)",4,27,3.96649740224496
"Pooled","Group B (tau=4)",4,27,2.59298265359061
"DP Bayes","Group A (tau=2)",2,28,1.94442162607445
"Flexible","Group A (tau=2)",2,28,1.94634809563429
"L0 (L=0.5)","Group A (tau=2)",2,28,1.94879975914787
"Pooled","Group A (tau=2)",2,28,2.54745574080729
"DP Bayes","Group B (tau=4)",4,28,3.94012733829552
"Flexible","Group B (tau=4)",4,28,3.9790400770231
"L0 (L=0.5)","Group B (tau=4)",4,28,3.94431969801261
"Pooled","Group B (tau=4)",4,28,2.54745574080729
"DP Bayes","Group A (tau=2)",2,29,2.00228691360395
"Flexible","Group A (tau=2)",2,29,2.01344597102783
"L0 (L=0.5)","Group A (tau=2)",2,29,2.00560301932322
"Pooled","Group A (tau=2)",2,29,2.59111665760991
"DP Bayes","Group B (tau=4)",4,29,3.95859698779067
"Flexible","Group B (tau=4)",4,29,3.98563244389131
"L0 (L=0.5)","Group B (tau=4)",4,29,3.95731514694553
"Pooled","Group B (tau=4)",4,29,2.59111665760991
"DP Bayes","Group A (tau=2)",2,30,2.00735253272544
"Flexible","Group A (tau=2)",2,30,2.0071553976759
