"method","true_group","tau_true","iteration","estimate"
"L0 (L=0.5)","Group A (tau=2)",2,115,2.01308789276456
"Pooled","Group A (tau=2)",2,115,2.59580840301253
"DP Bayes","Group B (tau=4)",4,115,3.9722221851131
"Flexible","Group B (tau=4)",4,115,4.03424025710696
"L0 (L=0.5)","Group B (tau=4)",4,115,4.02285533131361
"Pooled","Group B (tau=4)",4,115,2.59580840301253
"DP Bayes","Group A (tau=2)",2,116,2.01366944358087
"Flexible","Group A (tau=2)",2,116,1.99165338403358
"L0 (L=0.5)","Group A (tau=2)",2,116,2.01669715680667
"Pooled","Group A (tau=2)",2,116,2.6262553809553
"DP Bayes","Group B (tau=4)",4,116,4.03533225032189
"Flexible","Group B (tau=4)",4,116,4.02907782538939
"L0 (L=0.5)","Group B (tau=4)",4,116,4.0485579039688
"Pooled","Group B (tau=4)",4,116,2.6262553809553
"DP Bayes","Group A (tau=2)",2,117,1.96949515184241
"Flexible","Group A (tau=2)",2,117,1.98240759586855
"L0 (L=0.5)","Group A (tau=2)",2,117,1.96796251503413
"Pooled","Group A (tau=2)",2,117,2.57696982931381
"DP Bayes","Group B (tau=4)",4,117,3.99601084564076
"Flexible","Group B (tau=4)",4,117,4.03872830176199
"L0 (L=0.5)","Group B (tau=4)",4,117,3.99798689596641
"Pooled","Group B (tau=4)",4,117,2.57696982931381
"DP Bayes","Group A (tau=2)",2,118,1.97676151509969
"Flexible","Group A (tau=2)",2,118,2.01447388545603
"L0 (L=0.5)","Group A (tau=2)",2,118,1.97135567922513
"Pooled","Group A (tau=2)",2,118,2.58116998912219
"DP Bayes","Group B (tau=4)",4,118,4.00124259970043
"Flexible","Group B (tau=4)",4,118,4.04576986216065
"L0 (L=0.5)","Group B (tau=4)",4,118,4.00407004554864
"Pooled","Group B (tau=4)",4,118,2.58116998912219
"DP Bayes","Group A (tau=2)",2,119,2.01225552046718
"Flexible","Group A (tau=2)",2,119,2.01653607689415
"L0 (L=0.5)","Group A (tau=2)",2,119,2.0116123289329
"Pooled","Group A (tau=2)",2,119,2.63322004613203
"DP Bayes","Group B (tau=4)",4,119,4.08504460680387
"Flexible","Group B (tau=4)",4,119,4.03550574753201
"L0 (L=0.5)","Group B (tau=4)",4,119,4.08363805293004
"Pooled","Group B (tau=4)",4,119,2.63322004613203
"DP Bayes","Group A (tau=2)",2,120,1.97256654074711
"Flexible","Group A (tau=2)",2,120,1.98649695661553
"L0 (L=0.5)","Group A (tau=2)",2,120,1.97043837959425
"Pooled","Group A (tau=2)",2,120,2.58467557635782
"DP Bayes","Group B (tau=4)",4,120,4.01930576652665
"Flexible","Group B (tau=4)",4,120,3.97776567930059
"L0 (L=0.5)","Group B (tau=4)",4,120,4.01789570213948
"Pooled","Group B (tau=4)",4,120,2.58467557635782
"DP Bayes","Group A (tau=2)",2,121,1.97646597601097
"Flexible","Group A (tau=2)",2,121,1.97215679522245
"L0 (L=0.5)","Group A (tau=2)",2,121,1.98248366186758
"Pooled","Group A (tau=2)",2,121,2.60472465085
"DP Bayes","Group B (tau=4)",4,121,4.05357371561702
"Flexible","Group B (tau=4)",4,121,4.04540906469374
"L0 (L=0.5)","Group B (tau=4)",4,121,4.05662029180898
"Pooled","Group B (tau=4)",4,121,2.60472465085
"DP Bayes","Group A (tau=2)",2,122,2.00519582919911
"Flexible","Group A (tau=2)",2,122,2.00932243061019
"L0 (L=0.5)","Group A (tau=2)",2,122,2.00814135741526
"Pooled","Group A (tau=2)",2,122,2.61790466337228
"DP Bayes","Group B (tau=4)",4,122,4.03603597273886
"Flexible","Group B (tau=4)",4,122,4.03680018875576
"L0 (L=0.5)","Group B (tau=4)",4,122,4.04068571060532
"Pooled","Group B (tau=4)",4,122,2.61790466337228
"DP Bayes","Group A (tau=2)",2,123,2.04646335162364
"Flexible","Group A (tau=2)",2,123,2.03779692280566
"L0 (L=0.5)","Group A (tau=2)",2,123,2.04859844559193
"Pooled","Group A (tau=2)",2,123,2.65396395310548
"DP Bayes","Group B (tau=4)",4,123,4.05262548066946
"Flexible","Group B (tau=4)",4,123,4.07185505755899
"L0 (L=0.5)","Group B (tau=4)",4,123,4.06648347063709
"Pooled","Group B (tau=4)",4,123,2.65396395310548
"DP Bayes","Group A (tau=2)",2,124,2.00143238494294
"Flexible","Group A (tau=2)",2,124,2.0269504648745
"L0 (L=0.5)","Group A (tau=2)",2,124,2.00515501139419
"Pooled","Group A (tau=2)",2,124,2.57990777222359
"DP Bayes","Group B (tau=4)",4,124,3.91632485147811
"Flexible","Group B (tau=4)",4,124,3.93830980748416
"L0 (L=0.5)","Group B (tau=4)",4,124,3.92099754749222
"Pooled","Group B (tau=4)",4,124,2.57990777222359
"DP Bayes","Group A (tau=2)",2,125,2.00689084205714
"Flexible","Group A (tau=2)",2,125,2.02443141683812
"L0 (L=0.5)","Group A (tau=2)",2,125,2.00911014940594
"Pooled","Group A (tau=2)",2,125,2.608163300962
"DP Bayes","Group B (tau=4)",4,125,4.00464664866113
"Flexible","Group B (tau=4)",4,125,4.00131572381886
"L0 (L=0.5)","Group B (tau=4)",4,125,4.00595398792612
"Pooled","Group B (tau=4)",4,125,2.608163300962
"DP Bayes","Group A (tau=2)",2,126,1.95749560151244
"Flexible","Group A (tau=2)",2,126,1.96361615178395
"L0 (L=0.5)","Group A (tau=2)",2,126,1.96116794186547
"Pooled","Group A (tau=2)",2,126,2.57422338757215
"DP Bayes","Group B (tau=4)",4,126,4.00519661329353
"Flexible","Group B (tau=4)",4,126,4.02746485687051
"L0 (L=0.5)","Group B (tau=4)",4,126,4.00468609422108
"Pooled","Group B (tau=4)",4,126,2.57422338757215
"DP Bayes","Group A (tau=2)",2,127,2.04127857659626
"Flexible","Group A (tau=2)",2,127,2.04481513420867
"L0 (L=0.5)","Group A (tau=2)",2,127,2.04039805377169
"Pooled","Group A (tau=2)",2,127,2.65016376597315
"DP Bayes","Group B (tau=4)",4,127,4.07143867282087
"Flexible","Group B (tau=4)",4,127,4.07888249717242
"L0 (L=0.5)","Group B (tau=4)",4,127,4.07295042777655
"Pooled","Group B (tau=4)",4,127,2.65016376597315
"DP Bayes","Group A (tau=2)",2,128,1.99566239929851
"Flexible","Group A (tau=2)",2,128,2.00776118424121
"L0 (L=0.5)","Group A (tau=2)",2,128,1.99811009682556
"Pooled","Group A (tau=2)",2,128,2.60317020233942
"DP Bayes","Group B (tau=4)",4,128,4.01538557471524
"Flexible","Group B (tau=4)",4,128,4.02194098559262
"L0 (L=0.5)","Group B (tau=4)",4,128,4.01497711520511
"Pooled","Group B (tau=4)",4,128,2.60317020233942
"DP Bayes","Group A (tau=2)",2,129,2.03669142359852
"Flexible","Group A (tau=2)",2,129,2.03949508594732
"L0 (L=0.5)","Group A (tau=2)",2,129,2.02924927847876
"Pooled","Group A (tau=2)",2,129,2.61076991019133
"DP Bayes","Group B (tau=4)",4,129,3.97538116396434
"Flexible","Group B (tau=4)",4,129,3.98135428456864
"L0 (L=0.5)","Group B (tau=4)",4,129,3.96765138418733
"Pooled","Group B (tau=4)",4,129,2.61076991019133
"DP Bayes","Group A (tau=2)",2,130,1.97269329627269
"Flexible","Group A (tau=2)",2,130,1.96290889085115
"L0 (L=0.5)","Group A (tau=2)",2,130,1.9743510025063
"Pooled","Group A (tau=2)",2,130,2.59309343188973
"DP Bayes","Group B (tau=4)",4,130,4.03368495964286
"Flexible","Group B (tau=4)",4,130,4.02092629093742
"L0 (L=0.5)","Group B (tau=4)",4,130,4.03682576711772
"Pooled","Group B (tau=4)",4,130,2.59309343188973
"DP Bayes","Group A (tau=2)",2,131,2.02231816449716
"Flexible","Group A (tau=2)",2,131,2.03874818185919
"L0 (L=0.5)","Group A (tau=2)",2,131,2.02072634879546
"Pooled","Group A (tau=2)",2,131,2.60093666661138
"DP Bayes","Group B (tau=4)",4,131,3.95145808015569
"Flexible","Group B (tau=4)",4,131,3.98828536860976
"L0 (L=0.5)","Group B (tau=4)",4,131,3.95476074151522
"Pooled","Group B (tau=4)",4,131,2.60093666661138
"DP Bayes","Group A (tau=2)",2,132,2.02334437033722
"Flexible","Group A (tau=2)",2,132,2.02080319958242
"L0 (L=0.5)","Group A (tau=2)",2,132,2.03068645111974
"Pooled","Group A (tau=2)",2,132,2.64237790568559
"DP Bayes","Group B (tau=4)",4,132,4.06543944338222
"Flexible","Group B (tau=4)",4,132,4.02519451819831
"L0 (L=0.5)","Group B (tau=4)",4,132,4.06965796633922
"Pooled","Group B (tau=4)",4,132,2.64237790568559
"DP Bayes","Group A (tau=2)",2,133,2.02982538555789
"Flexible","Group A (tau=2)",2,133,2.00441735142742
"L0 (L=0.5)","Group A (tau=2)",2,133,2.02998791221501
"Pooled","Group A (tau=2)",2,133,2.61725022039828
"DP Bayes","Group B (tau=4)",4,133,3.98781366865303
"Flexible","Group B (tau=4)",4,133,3.94918821407353
"L0 (L=0.5)","Group B (tau=4)",4,133,3.98752893949256
"Pooled","Group B (tau=4)",4,133,2.61725022039828
"DP Bayes","Group A (tau=2)",2,134,2.08846646378715
"Flexible","Group A (tau=2)",2,134,2.09584760251685
"L0 (L=0.5)","Group A (tau=2)",2,134,2.09028987231064
"Pooled","Group A (tau=2)",2,134,2.66283185033189
"DP Bayes","Group B (tau=4)",4,134,3.99901294096583
"Flexible","Group B (tau=4)",4,134,4.00522228395834
"L0 (L=0.5)","Group B (tau=4)",4,134,3.9987631323815
"Pooled","Group B (tau=4)",4,134,2.66283185033189
"DP Bayes","Group A (tau=2)",2,135,1.94216228555003
"Flexible","Group A (tau=2)",2,135,1.93232037792811
"L0 (L=0.5)","Group A (tau=2)",2,135,1.93810673512975
"Pooled","Group A (tau=2)",2,135,2.54324801989346
"DP Bayes","Group B (tau=4)",4,135,3.96196620432826
"Flexible","Group B (tau=4)",4,135,3.95995386141887
"L0 (L=0.5)","Group B (tau=4)",4,135,3.95524435100878
"Pooled","Group B (tau=4)",4,135,2.54324801989346
"DP Bayes","Group A (tau=2)",2,136,1.98469838014236
"Flexible","Group A (tau=2)",2,136,2.00836442979422
"L0 (L=0.5)","Group A (tau=2)",2,136,1.97868461981733
"Pooled","Group A (tau=2)",2,136,2.56932065715544
"DP Bayes","Group B (tau=4)",4,136,3.95438412564084
"Flexible","Group B (tau=4)",4,136,3.96210705367636
"L0 (L=0.5)","Group B (tau=4)",4,136,3.94747141094438
"Pooled","Group B (tau=4)",4,136,2.56932065715544
"DP Bayes","Group A (tau=2)",2,137,2.03996576193819
"Flexible","Group A (tau=2)",2,137,2.0244873115872
"L0 (L=0.5)","Group A (tau=2)",2,137,2.0412337415747
"Pooled","Group A (tau=2)",2,137,2.62748480832396
"DP Bayes","Group B (tau=4)",4,137,3.9929183123962
"Flexible","Group B (tau=4)",4,137,3.95329017303066
"L0 (L=0.5)","Group B (tau=4)",4,137,3.99540396407223
"Pooled","Group B (tau=4)",4,137,2.62748480832396
"DP Bayes","Group A (tau=2)",2,138,2.00115448786232
"Flexible","Group A (tau=2)",2,138,2.01515158454158
"L0 (L=0.5)","Group A (tau=2)",2,138,2.00466757874387
"Pooled","Group A (tau=2)",2,138,2.60195609463576
"DP Bayes","Group B (tau=4)",4,138,3.99313666717728
"Flexible","Group B (tau=4)",4,138,3.99590469255302
"L0 (L=0.5)","Group B (tau=4)",4,138,3.99562929838349
"Pooled","Group B (tau=4)",4,138,2.60195609463576
"DP Bayes","Group A (tau=2)",2,139,1.98669267389547
"Flexible","Group A (tau=2)",2,139,1.97856230175598
"L0 (L=0.5)","Group A (tau=2)",2,139,1.98814947817115
"Pooled","Group A (tau=2)",2,139,2.61605113047139
"DP Bayes","Group B (tau=4)",4,139,4.08447636759733
"Flexible","Group B (tau=4)",4,139,4.05463164585493
"L0 (L=0.5)","Group B (tau=4)",4,139,4.08115498583864
"Pooled","Group B (tau=4)",4,139,2.61605113047139
"DP Bayes","Group A (tau=2)",2,140,1.99052985279665
"Flexible","Group A (tau=2)",2,140,1.99064861888382
"L0 (L=0.5)","Group A (tau=2)",2,140,1.99235228174551
"Pooled","Group A (tau=2)",2,140,2.60773592270725
"DP Bayes","Group B (tau=4)",4,140,4.04467044427844
"Flexible","Group B (tau=4)",4,140,4.03608074030485
"L0 (L=0.5)","Group B (tau=4)",4,140,4.04363108495129
"Pooled","Group B (tau=4)",4,140,2.60773592270725
"DP Bayes","Group A (tau=2)",2,141,2.02067805257658
"Flexible","Group A (tau=2)",2,141,2.02943064861499
"L0 (L=0.5)","Group A (tau=2)",2,141,2.01965482361557
"Pooled","Group A (tau=2)",2,141,2.59868804151509
"DP Bayes","Group B (tau=4)",4,141,3.9529790213319
"Flexible","Group B (tau=4)",4,141,3.9894685462804
"L0 (L=0.5)","Group B (tau=4)",4,141,3.94976554994732
"Pooled","Group B (tau=4)",4,141,2.59868804151509
"DP Bayes","Group A (tau=2)",2,142,2.00663549153942
"Flexible","Group A (tau=2)",2,142,2.00061027081024
"L0 (L=0.5)","Group A (tau=2)",2,142,2.00487957832909
"Pooled","Group A (tau=2)",2,142,2.62888548656095
"DP Bayes","Group B (tau=4)",4,142,4.07999817069709
"Flexible","Group B (tau=4)",4,142,4.09670565682304
"L0 (L=0.5)","Group B (tau=4)",4,142,4.0848992724353
"Pooled","Group B (tau=4)",4,142,2.62888548656095
"DP Bayes","Group A (tau=2)",2,143,1.97274401531017
"Flexible","Group A (tau=2)",2,143,1.94573675913618
"L0 (L=0.5)","Group A (tau=2)",2,143,1.97422868663222
"Pooled","Group A (tau=2)",2,143,2.55911701062805
"DP Bayes","Group B (tau=4)",4,143,3.92095048955065
"Flexible","Group B (tau=4)",4,143,3.90259292925237
"L0 (L=0.5)","Group B (tau=4)",4,143,3.92385643328497
"Pooled","Group B (tau=4)",4,143,2.55911701062805
"DP Bayes","Group A (tau=2)",2,144,2.03613298999147
"Flexible","Group A (tau=2)",2,144,2.04086648596723
"L0 (L=0.5)","Group A (tau=2)",2,144,2.0390565556908
"Pooled","Group A (tau=2)",2,144,2.61264364731829
"DP Bayes","Group B (tau=4)",4,144,3.9531039284384
"Flexible","Group B (tau=4)",4,144,3.95847511532067
"L0 (L=0.5)","Group B (tau=4)",4,144,3.95101352778245
"Pooled","Group B (tau=4)",4,144,2.61264364731829
"DP Bayes","Group A (tau=2)",2,145,1.97958162123611
"Flexible","Group A (tau=2)",2,145,1.96696737249287
"L0 (L=0.5)","Group A (tau=2)",2,145,1.98093709863573
"Pooled","Group A (tau=2)",2,145,2.59463229091292
"DP Bayes","Group B (tau=4)",4,145,4.02337195606209
"Flexible","Group B (tau=4)",4,145,3.97738018701396
"L0 (L=0.5)","Group B (tau=4)",4,145,4.02658773955968
"Pooled","Group B (tau=4)",4,145,2.59463229091292
"DP Bayes","Group A (tau=2)",2,146,2.0662582180317
"Flexible","Group A (tau=2)",2,146,2.08396010422058
"L0 (L=0.5)","Group A (tau=2)",2,146,2.07088481687286
"Pooled","Group A (tau=2)",2,146,2.66652382295923
"DP Bayes","Group B (tau=4)",4,146,4.05823603833562
"Flexible","Group B (tau=4)",4,146,4.03165008177112
"L0 (L=0.5)","Group B (tau=4)",4,146,4.05634817049408
"Pooled","Group B (tau=4)",4,146,2.66652382295923
"DP Bayes","Group A (tau=2)",2,147,2.00656632907976
"Flexible","Group A (tau=2)",2,147,1.9926870440251
"L0 (L=0.5)","Group A (tau=2)",2,147,2.00024734923914
"Pooled","Group A (tau=2)",2,147,2.59082764127373
"DP Bayes","Group B (tau=4)",4,147,3.97708114872143
"Flexible","Group B (tau=4)",4,147,3.98568881537155
"L0 (L=0.5)","Group B (tau=4)",4,147,3.96884832268778
"Pooled","Group B (tau=4)",4,147,2.59082764127373
"DP Bayes","Group A (tau=2)",2,148,2.03657588131061
"Flexible","Group A (tau=2)",2,148,2.04323722139018
"L0 (L=0.5)","Group A (tau=2)",2,148,2.03808100032208
"Pooled","Group A (tau=2)",2,148,2.63134598665483
"DP Bayes","Group B (tau=4)",4,148,4.01344703159268
"Flexible","Group B (tau=4)",4,148,4.04606513087639
"L0 (L=0.5)","Group B (tau=4)",4,148,4.01563095476455
"Pooled","Group B (tau=4)",4,148,2.63134598665483
"DP Bayes","Group A (tau=2)",2,149,1.97775562510087
"Flexible","Group A (tau=2)",2,149,1.98557629092252
"L0 (L=0.5)","Group A (tau=2)",2,149,1.98113897840386
"Pooled","Group A (tau=2)",2,149,2.56885173625525
"DP Bayes","Group B (tau=4)",4,149,3.93529757080038
"Flexible","Group B (tau=4)",4,149,3.89646595992722
"L0 (L=0.5)","Group B (tau=4)",4,149,3.94018150457516
"Pooled","Group B (tau=4)",4,149,2.56885173625525
"DP Bayes","Group A (tau=2)",2,150,1.94204113792387
"Flexible","Group A (tau=2)",2,150,1.93570019142448
"L0 (L=0.5)","Group A (tau=2)",2,150,1.94678105597064
"Pooled","Group A (tau=2)",2,150,2.55083699556242
"DP Bayes","Group B (tau=4)",4,150,3.96055360421824
"Flexible","Group B (tau=4)",4,150,3.91326602344786
"L0 (L=0.5)","Group B (tau=4)",4,150,3.96030085460992
"Pooled","Group B (tau=4)",4,150,2.55083699556242
"DP Bayes","Group A (tau=2)",2,151,1.99226004258892
"Flexible","Group A (tau=2)",2,151,2.00043768582221
"L0 (L=0.5)","Group A (tau=2)",2,151,1.98971895108712
"Pooled","Group A (tau=2)",2,151,2.59108970762042
"DP Bayes","Group B (tau=4)",4,151,3.99105218464664
"Flexible","Group B (tau=4)",4,151,4.02078806997858
"L0 (L=0.5)","Group B (tau=4)",4,151,3.99428813953144
"Pooled","Group B (tau=4)",4,151,2.59108970762042
"DP Bayes","Group A (tau=2)",2,152,1.9524454805726
"Flexible","Group A (tau=2)",2,152,1.9562026364702
"L0 (L=0.5)","Group A (tau=2)",2,152,1.95830718318633
"Pooled","Group A (tau=2)",2,152,2.5578246790525
"DP Bayes","Group B (tau=4)",4,152,3.95540967042005
"Flexible","Group B (tau=4)",4,152,3.96410053747861
"L0 (L=0.5)","Group B (tau=4)",4,152,3.95669883607356
"Pooled","Group B (tau=4)",4,152,2.5578246790525
"DP Bayes","Group A (tau=2)",2,153,2.01709838964731
"Flexible","Group A (tau=2)",2,153,2.03720848101345
"L0 (L=0.5)","Group A (tau=2)",2,153,2.01517208210847
"Pooled","Group A (tau=2)",2,153,2.6064336441602
"DP Bayes","Group B (tau=4)",4,153,3.99022946896879
"Flexible","Group B (tau=4)",4,153,4.02042303636504
"L0 (L=0.5)","Group B (tau=4)",4,153,3.98604395561426
"Pooled","Group B (tau=4)",4,153,2.6064336441602
"DP Bayes","Group A (tau=2)",2,154,1.95616625122804
"Flexible","Group A (tau=2)",2,154,1.95262869922311
"L0 (L=0.5)","Group A (tau=2)",2,154,1.95078747644391
"Pooled","Group A (tau=2)",2,154,2.58022683767147
"DP Bayes","Group B (tau=4)",4,154,4.05162939337976
"Flexible","Group B (tau=4)",4,154,4.01400110096969
"L0 (L=0.5)","Group B (tau=4)",4,154,4.04891868053578
"Pooled","Group B (tau=4)",4,154,2.58022683767147
"DP Bayes","Group A (tau=2)",2,155,1.92674331937435
"Flexible","Group A (tau=2)",2,155,1.9216990042813
"L0 (L=0.5)","Group A (tau=2)",2,155,1.92708305207218
"Pooled","Group A (tau=2)",2,155,2.52879399529008
"DP Bayes","Group B (tau=4)",4,155,3.93329000970828
"Flexible","Group B (tau=4)",4,155,3.94652344404751
"L0 (L=0.5)","Group B (tau=4)",4,155,3.93278619613182
"Pooled","Group B (tau=4)",4,155,2.52879399529008
"DP Bayes","Group A (tau=2)",2,156,1.98024897444238
"Flexible","Group A (tau=2)",2,156,1.99065858182422
"L0 (L=0.5)","Group A (tau=2)",2,156,1.98056280194073
"Pooled","Group A (tau=2)",2,156,2.57274497715176
"DP Bayes","Group B (tau=4)",4,156,3.95052667157355
"Flexible","Group B (tau=4)",4,156,4.0022052755586
"L0 (L=0.5)","Group B (tau=4)",4,156,3.95450338597749
"Pooled","Group B (tau=4)",4,156,2.57274497715176
"DP Bayes","Group A (tau=2)",2,157,1.97844601345598
"Flexible","Group A (tau=2)",2,157,1.97582690243183
"L0 (L=0.5)","Group A (tau=2)",2,157,1.97664145618104
"Pooled","Group A (tau=2)",2,157,2.59435802591942
"DP Bayes","Group B (tau=4)",4,157,4.0392602215337
"Flexible","Group B (tau=4)",4,157,4.01174785739719
"L0 (L=0.5)","Group B (tau=4)",4,157,4.03569668864232
"Pooled","Group B (tau=4)",4,157,2.59435802591942
"DP Bayes","Group A (tau=2)",2,158,1.96942320453298
"Flexible","Group A (tau=2)",2,158,1.95605329455266
"L0 (L=0.5)","Group A (tau=2)",2,158,1.96675753718896
"Pooled","Group A (tau=2)",2,158,2.58014773330827
"DP Bayes","Group B (tau=4)",4,158,4.00767372479449
"Flexible","Group B (tau=4)",4,158,4.03890415288075
"L0 (L=0.5)","Group B (tau=4)",4,158,4.01139152425336
"Pooled","Group B (tau=4)",4,158,2.58014773330827
"DP Bayes","Group A (tau=2)",2,159,2.05951681125497
"Flexible","Group A (tau=2)",2,159,2.06349822020631
"L0 (L=0.5)","Group A (tau=2)",2,159,2.06114463729468
"Pooled","Group A (tau=2)",2,159,2.65982529536486
"DP Bayes","Group B (tau=4)",4,159,4.04951340532044
"Flexible","Group B (tau=4)",4,159,4.05963427327932
"L0 (L=0.5)","Group B (tau=4)",4,159,4.05674683086192
"Pooled","Group B (tau=4)",4,159,2.65982529536486
"DP Bayes","Group A (tau=2)",2,160,2.02559247968395
"Flexible","Group A (tau=2)",2,160,2.00886714669292
"L0 (L=0.5)","Group A (tau=2)",2,160,2.02883984519394
"Pooled","Group A (tau=2)",2,160,2.64189058792245
"DP Bayes","Group B (tau=4)",4,160,4.0656606360013
"Flexible","Group B (tau=4)",4,160,3.99774218258638
"L0 (L=0.5)","Group B (tau=4)",4,160,4.07234232095564
"Pooled","Group B (tau=4)",4,160,2.64189058792245
"DP Bayes","Group A (tau=2)",2,161,1.96443486505337
"Flexible","Group A (tau=2)",2,161,1.9545015529181
"L0 (L=0.5)","Group A (tau=2)",2,161,1.96149869030286
"Pooled","Group A (tau=2)",2,161,2.5482290296441
"DP Bayes","Group B (tau=4)",4,161,3.91656136281876
"Flexible","Group B (tau=4)",4,161,3.95735114074783
"L0 (L=0.5)","Group B (tau=4)",4,161,3.91726648810701
"Pooled","Group B (tau=4)",4,161,2.5482290296441
"DP Bayes","Group A (tau=2)",2,162,2.02684659879248
"Flexible","Group A (tau=2)",2,162,2.02183567313965
"L0 (L=0.5)","Group A (tau=2)",2,162,2.03027623034844
"Pooled","Group A (tau=2)",2,162,2.62927137389172
"DP Bayes","Group B (tau=4)",4,162,4.03017031432521
"Flexible","Group B (tau=4)",4,162,4.03063286183475
"L0 (L=0.5)","Group B (tau=4)",4,162,4.02692670882604
"Pooled","Group B (tau=4)",4,162,2.62927137389172
"DP Bayes","Group A (tau=2)",2,163,1.96667959610771
"Flexible","Group A (tau=2)",2,163,1.93647290451535
"L0 (L=0.5)","Group A (tau=2)",2,163,1.96490007254812
"Pooled","Group A (tau=2)",2,163,2.58275521819347
"DP Bayes","Group B (tau=4)",4,163,4.02198420753881
"Flexible","Group B (tau=4)",4,163,4.01401337397491
"L0 (L=0.5)","Group B (tau=4)",4,163,4.02441722469927
"Pooled","Group B (tau=4)",4,163,2.58275521819347
"DP Bayes","Group A (tau=2)",2,164,2.0049972470775
"Flexible","Group A (tau=2)",2,164,2.03454642104799
"L0 (L=0.5)","Group A (tau=2)",2,164,2.00866398339616
"Pooled","Group A (tau=2)",2,164,2.63379677035775
"DP Bayes","Group B (tau=4)",4,164,4.08184362441533
"Flexible","Group B (tau=4)",4,164,4.06454373584171
"L0 (L=0.5)","Group B (tau=4)",4,164,4.09243993993479
"Pooled","Group B (tau=4)",4,164,2.63379677035775
"DP Bayes","Group A (tau=2)",2,165,2.01447141980844
"Flexible","Group A (tau=2)",2,165,1.99541757300864
"L0 (L=0.5)","Group A (tau=2)",2,165,2.01853841378956
"Pooled","Group A (tau=2)",2,165,2.60098931018062
"DP Bayes","Group B (tau=4)",4,165,3.94589229020807
"Flexible","Group B (tau=4)",4,165,3.95045956703024
"L0 (L=0.5)","Group B (tau=4)",4,165,3.96004140175976
"Pooled","Group B (tau=4)",4,165,2.60098931018062
"DP Bayes","Group A (tau=2)",2,166,1.94783743285205
"Flexible","Group A (tau=2)",2,166,1.9475828788553
"L0 (L=0.5)","Group A (tau=2)",2,166,1.94637778321961
"Pooled","Group A (tau=2)",2,166,2.55165179795476
"DP Bayes","Group B (tau=4)",4,166,3.96318783695475
"Flexible","Group B (tau=4)",4,166,3.9818435979548
"L0 (L=0.5)","Group B (tau=4)",4,166,3.96395783233677
"Pooled","Group B (tau=4)",4,166,2.55165179795476
"DP Bayes","Group A (tau=2)",2,167,1.96463364810008
"Flexible","Group A (tau=2)",2,167,1.97531754928872
"L0 (L=0.5)","Group A (tau=2)",2,167,1.96886079042645
"Pooled","Group A (tau=2)",2,167,2.55446365425446
"DP Bayes","Group B (tau=4)",4,167,3.9231420962626
"Flexible","Group B (tau=4)",4,167,3.92360449665685
"L0 (L=0.5)","Group B (tau=4)",4,167,3.92087033651981
"Pooled","Group B (tau=4)",4,167,2.55446365425446
"DP Bayes","Group A (tau=2)",2,168,2.00634258105365
"Flexible","Group A (tau=2)",2,168,1.98604517544783
"L0 (L=0.5)","Group A (tau=2)",2,168,2.00582546106004
"Pooled","Group A (tau=2)",2,168,2.59730018039575
"DP Bayes","Group B (tau=4)",4,168,3.9765937783236
"Flexible","Group B (tau=4)",4,168,3.96515467567584
"L0 (L=0.5)","Group B (tau=4)",4,168,3.97740785884573
"Pooled","Group B (tau=4)",4,168,2.59730018039575
"DP Bayes","Group A (tau=2)",2,169,1.99059724713428
"Flexible","Group A (tau=2)",2,169,1.97394692682277
"L0 (L=0.5)","Group A (tau=2)",2,169,1.99096624671224
"Pooled","Group A (tau=2)",2,169,2.58238567243066
"DP Bayes","Group B (tau=4)",4,169,3.96157372455252
"Flexible","Group B (tau=4)",4,169,3.94279961328121
"L0 (L=0.5)","Group B (tau=4)",4,169,3.96236433244028
"Pooled","Group B (tau=4)",4,169,2.58238567243066
"DP Bayes","Group A (tau=2)",2,170,1.96948483632129
"Flexible","Group A (tau=2)",2,170,1.98544178610259
"L0 (L=0.5)","Group A (tau=2)",2,170,1.97909152685616
"Pooled","Group A (tau=2)",2,170,2.58313812342834
"DP Bayes","Group B (tau=4)",4,170,3.98826467242842
"Flexible","Group B (tau=4)",4,170,4.00653993177889
"L0 (L=0.5)","Group B (tau=4)",4,170,3.99258018209676
"Pooled","Group B (tau=4)",4,170,2.58313812342834
"DP Bayes","Group A (tau=2)",2,171,1.94935950482074
"Flexible","Group A (tau=2)",2,171,1.93758814871844
"L0 (L=0.5)","Group A (tau=2)",2,171,1.94980489012836
"Pooled","Group A (tau=2)",2,171,2.54767273813387
"DP Bayes","Group B (tau=4)",4,171,3.94824828046426
"Flexible","Group B (tau=4)",4,171,3.94837176792913
"L0 (L=0.5)","Group B (tau=4)",4,171,3.9426977168134
"Pooled","Group B (tau=4)",4,171,2.54767273813387
"DP Bayes","Group A (tau=2)",2,172,1.92589548224919
"Flexible","Group A (tau=2)",2,172,1.90518160987731
"L0 (L=0.5)","Group A (tau=2)",2,172,1.92170747429581
"Pooled","Group A (tau=2)",2,172,2.53982349386832
"DP Bayes","Group B (tau=4)",4,172,3.97899596029678
"Flexible","Group B (tau=4)",4,172,3.96424467274768
"L0 (L=0.5)","Group B (tau=4)",4,172,3.9820942062042
"Pooled","Group B (tau=4)",4,172,2.53982349386832
"DP Bayes","Group A (tau=2)",2,173,1.96553203345307
"Flexible","Group A (tau=2)",2,173,1.96046787990545
"L0 (L=0.5)","Group A (tau=2)",2,173,1.96573678559615
"Pooled","Group A (tau=2)",2,173,2.54927433137681
